Ship type,Reporting Period,Technical efficiency,tech_eff_name,tech_eff,Port of Registry,Home Port,Total fuel consumption [m tonnes],Total CO₂ emissions [m tonnes],CO₂ emissions from all voyages between ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages which departed from ports under a MS jurisdiction [m tonnes],CO₂ emissions from all voyages to ports under a MS jurisdiction [m tonnes],CO₂ emissions which occurred within ports under a MS jurisdiction at berth [m tonnes],Annual Total time spent at sea [hours],Annual average Fuel consumption per distance [kg / n mile],Annual average Fuel consumption per transport work (mass) [g / m tonnes · n miles],Annual average CO₂ emissions per distance [kg CO₂ / n mile],Annual average CO₂ emissions per transport work (mass) [g CO₂ / m tonnes · n miles],C02 emissions per hour,C02 emissions per fuel consumption,EEOI_Index
Bulk carrier,2018,EIV (4.61 gCO₂/t·nm),EIV,4.61,Nassau,,742.8,2322.6,0.0,927.65,1349.11,45.85,892.25,89.86,2.45,280.97,7.66,2.603082095825161,3.126817447495961,7.66
Bulk carrier,2018,EIV (5.25 gCO₂/t·nm),EIV,5.25,Nassau,,1578.0,4938.31,138.35,1449.2,3205.21,145.55,1243.0,113.57,2.19,355.42,6.85,3.9728962188254227,3.12947401774398,6.85
Bulk carrier,2018,EIV (7.18 gCO₂/t·nm),EIV,7.18,Monrovia,Monrovia,774.28,2419.56,68.87,1299.72,808.57,241.84,941.44,91.75,4.61,286.71,14.41,2.57006288239293,3.1249160510409673,14.41
Bulk carrier,2018,EIV (5.2 gCO₂/t·nm),EIV,5.2,Monrovia,,2408.0,7522.34,6940.43,0.0,0.0,581.91,4106.0,105.15,4.52,328.47,14.12,1.8320360448124695,3.1238953488372094,14.12
Bulk carrier,2018,EIV (7.48 gCO₂/t·nm),EIV,7.48,Monrovia,,5512.4,17234.26,0.0,7446.47,9528.11,259.69,7023.49,67.8,3.6,211.98,11.25,2.453802881473455,3.126453087584355,11.25
Bulk carrier,2018,EIV (4.73 gCO₂/t·nm),EIV,4.73,Alexandria,Alexandria,192.5,602.85,0.0,316.08,267.54,19.24,258.24,101.74,3.25,318.63,10.19,2.334456319702602,3.1316883116883116,10.19
Bulk carrier,2018,EIV (5.68 gCO₂/t·nm),EIV,5.68,,,3490.06,10868.05,759.0,4604.0,4931.0,574.0,5911.0,71.52,1.68,222.71,5.22,1.838614447639993,3.11400090542856,5.22
Bulk carrier,2018,EIV (7.4 gCO₂/t·nm),EIV,7.4,Majuro,,619.63,1943.13,0.0,203.77,1564.78,170.97,654.0,77.62,3.8,243.41,11.92,2.971146788990826,3.135952100447041,11.92
Bulk carrier,2018,EIV (4.02 gCO₂/t·nm),EIV,4.02,Monrovia,,2148.91,6738.05,490.73,3686.75,2248.25,312.28,2109.68,110.67,2.48,347.01,7.79,3.1938730044366923,3.135566403432438,7.79
Bulk carrier,2018,EIV (5.38 gCO₂/t·nm),EIV,5.38,Valletta,,802.35,2503.38,342.82,670.93,1384.76,104.87,862.86,88.03,3.46,274.67,10.79,2.9012586051039566,3.120059824266218,10.79
Bulk carrier,2018,EIV (6.45 gCO₂/t·nm),EIV,6.45,,,825.0,2575.31,0.0,0.0,2438.0,136.0,791.0,96.46,2.37,301.1,7.4,3.2557648546144122,3.121587878787879,7.4
Bulk carrier,2018,EIV (4.73 gCO₂/t·nm),EIV,4.73,Alexandria,Alexandria,133.6,420.09,0.0,279.53,73.87,66.68,230.81,115.37,2.26,362.77,7.1,1.8200684545730252,3.14438622754491,7.1
Bulk carrier,2018,EIV (5.49 gCO₂/t·nm),EIV,5.49,ISTANBUL,,278.5,871.32,0.0,337.87,501.38,32.06,519.25,53.5,3.37,167.38,10.54,1.6780356283100626,3.1286175942549375,10.54
Bulk carrier,2018,EIV (5.1 gCO₂/t·nm),EIV,5.1,Majuro,,1495.8,4673.1,0.0,1887.72,2715.74,69.54,1487.0,83.86,2.3,262.0,7.19,3.1426361802286484,3.1241476133172887,7.19
Bulk carrier,2018,EIV (7.19 gCO₂/t·nm),EIV,7.19,VALLETTA,,1182.08,3695.24,383.68,1487.25,1538.87,285.43,1277.0,75.51,2.08,236.04,6.51,2.8936883320281908,3.1260489983757442,6.51
Bulk carrier,2018,EIV (6.02 gCO₂/t·nm),EIV,6.02,Belize,,153.4,480.12,0.0,205.58,231.25,43.28,229.7,48.39,4.75,151.46,14.86,2.0902046147148456,3.129856584093872,14.86
